Annee;Subdivision;Sexe;Age quinquennal 80;Population
1983;Tuamotu-Gambier;Femme;60-64 ans;96
1983;Tuamotu-Gambier;Femme;65-69 ans;78
1983;Tuamotu-Gambier;Femme;70-74 ans;48
1983;Tuamotu-Gambier;Femme;75-79 ans;24
1983;Tuamotu-Gambier;Femme;80 ans et plus;14
1988;Iles Du Vent;Homme;Moins de 5 ans;8 814
1988;Iles Du Vent;Homme;5-9 ans;8 260
1988;Iles Du Vent;Homme;10-14 ans;7 550
1988;Iles Du Vent;Homme;15-19 ans;7 633
1988;Iles Du Vent;Homme;20-24 ans;7 516
1988;Iles Du Vent;Homme;25-29 ans;6 417
1988;Iles Du Vent;Homme;30-34 ans;5 644
1988;Iles Du Vent;Homme;35-39 ans;4 718
1988;Iles Du Vent;Homme;40-44 ans;4 038
1988;Iles Du Vent;Homme;45-49 ans;3 338
1988;Iles Du Vent;Homme;50-54 ans;2 594
1988;Iles Du Vent;Homme;55-59 ans;2 030
1988;Iles Du Vent;Homme;60-64 ans;1 427
1988;Iles Du Vent;Homme;65-69 ans;807
1988;Iles Du Vent;Homme;70-74 ans;585
1988;Iles Du Vent;Homme;75-79 ans;348
1988;Iles Du Vent;Homme;80 ans et plus;199
1988;Iles Du Vent;Femme;Moins de 5 ans;8 431
1988;Iles Du Vent;Femme;5-9 ans;7 710
1988;Iles Du Vent;Femme;10-14 ans;7 256
1988;Iles Du Vent;Femme;15-19 ans;7 358
1988;Iles Du Vent;Femme;20-24 ans;7 222
1988;Iles Du Vent;Femme;25-29 ans;6 177
1988;Iles Du Vent;Femme;30-34 ans;5 489
1988;Iles Du Vent;Femme;35-39 ans;4 504
1988;Iles Du Vent;Femme;40-44 ans;3 607
1988;Iles Du Vent;Femme;45-49 ans;2 920
1988;Iles Du Vent;Femme;50-54 ans;2 311
1988;Iles Du Vent;Femme;55-59 ans;1 814
1988;Iles Du Vent;Femme;60-64 ans;1 344
1988;Iles Du Vent;Femme;65-69 ans;851
1988;Iles Du Vent;Femme;70-74 ans;650
1988;Iles Du Vent;Femme;75-79 ans;431
1988;Iles Du Vent;Femme;80 ans et plus;348
1988;Iles Sous-Le-Vent;Homme;Moins de 5 ans;1 480
1988;Iles Sous-Le-Vent;Homme;5-9 ans;1 508
1988;Iles Sous-Le-Vent;Homme;10-14 ans;1 405
1988;Iles Sous-Le-Vent;Homme;15-19 ans;1 317
1988;Iles Sous-Le-Vent;Homme;20-24 ans;1 086
1988;Iles Sous-Le-Vent;Homme;25-29 ans;837
1988;Iles Sous-Le-Vent;Homme;30-34 ans;714
1988;Iles Sous-Le-Vent;Homme;35-39 ans;572
1988;Iles Sous-Le-Vent;Homme;40-44 ans;529
1988;Iles Sous-Le-Vent;Homme;45-49 ans;487
1988;Iles Sous-Le-Vent;Homme;50-54 ans;452
1988;Iles Sous-Le-Vent;Homme;55-59 ans;364
1988;Iles Sous-Le-Vent;Homme;60-64 ans;273
1988;Iles Sous-Le-Vent;Homme;65-69 ans;207
1988;Iles Sous-Le-Vent;Homme;70-74 ans;124
1988;Iles Sous-Le-Vent;Homme;75-79 ans;109
1988;Iles Sous-Le-Vent;Homme;80 ans et plus;42
1988;Iles Sous-Le-Vent;Femme;Moins de 5 ans;1 431
1988;Iles Sous-Le-Vent;Femme;5-9 ans;1 443
1988;Iles Sous-Le-Vent;Femme;10-14 ans;1 331
1988;Iles Sous-Le-Vent;Femme;15-19 ans;1 249
1988;Iles Sous-Le-Vent;Femme;20-24 ans;916
1988;Iles Sous-Le-Vent;Femme;25-29 ans;838
1988;Iles Sous-Le-Vent;Femme;30-34 ans;684
1988;Iles Sous-Le-Vent;Femme;35-39 ans;535
1988;Iles Sous-Le-Vent;Femme;40-44 ans;445
1988;Iles Sous-Le-Vent;Femme;45-49 ans;448
1988;Iles Sous-Le-Vent;Femme;50-54 ans;369
1988;Iles Sous-Le-Vent;Femme;55-59 ans;289
1988;Iles Sous-Le-Vent;Femme;60-64 ans;275
1988;Iles Sous-Le-Vent;Femme;65-69 ans;181
1988;Iles Sous-Le-Vent;Femme;70-74 ans;145
1988;Iles Sous-Le-Vent;Femme;75-79 ans;84
1988;Iles Sous-Le-Vent;Femme;80 ans et plus;63
1988;Marquises;Homme;Moins de 5 ans;620
1988;Marquises;Homme;5-9 ans;547
1988;Marquises;Homme;10-14 ans;500
1988;Marquises;Homme;15-19 ans;460
1988;Marquises;Homme;20-24 ans;339
1988;Marquises;Homme;25-29 ans;316
1988;Marquises;Homme;30-34 ans;288
1988;Marquises;Homme;35-39 ans;187
1988;Marquises;Homme;40-44 ans;148
1988;Marquises;Homme;45-49 ans;134
1988;Marquises;Homme;50-54 ans;126
1988;Marquises;Homme;55-59 ans;107
1988;Marquises;Homme;60-64 ans;67
1988;Marquises;Homme;65-69 ans;41
1988;Marquises;Homme;70-74 ans;23
1988;Marquises;Homme;75-79 ans;18
1988;Marquises;Homme;80 ans et plus;16
1988;Marquises;Femme;Moins de 5 ans;584
1988;Marquises;Femme;5-9 ans;526
1988;Marquises;Femme;10-14 ans;438
1988;Marquises;Femme;15-19 ans;396
1988;Marquises;Femme;20-24 ans;290
1988;Marquises;Femme;25-29 ans;265
1988;Marquises;Femme;30-34 ans;220
1988;Marquises;Femme;35-39 ans;150
1988;Marquises;Femme;40-44 ans;112
1988;Marquises;Femme;45-49 ans;105
1988;Marquises;Femme;50-54 ans;118
1988;Marquises;Femme;55-59 ans;75
1988;Marquises;Femme;60-64 ans;57
